央视,#genre#
黑龙江卫视高清,http://iptv.tvfix.org/hls/hljhd.m3u8
辽宁卫视高清,http://iptv.tvfix.org/hls/lnhd.m3u8
深圳卫视高清,http://iptv.tvfix.org/hls/szhd.m3u8
广东卫视高清,http://iptv.tvfix.org/hls/gdhd.m3u8
天津卫视高清,http://iptv.tvfix.org/hls/tjhd.m3u8
湖北卫视高清,http://iptv.tvfix.org/hls/hbhd.m3u8
山东卫视高清,http://iptv.tvfix.org/hls/sdhd.m3u8
重庆卫视高清,http://iptv.tvfix.org/hls/cqhd.m3u8
金鹰纪实高清,http://iptv.tvfix.org/hls/gedocu.m3u8
福建东南卫视高清,http://iptv.tvfix.org/hls/dnhd.m3u8
四川卫视高清,http://iptv.tvfix.org/hls/schd.m3u8
河北卫视高清,http://iptv.tvfix.org/hls/hebhd.m3u8
江西卫视高清,http://iptv.tvfix.org/hls/jxhd.m3u8
河南卫视高清,http://iptv.tvfix.org/hls/hnhd.m3u8
广西卫视高清,http://iptv.tvfix.org/hls/gxhd.m3u8
吉林卫视高清,http://iptv.tvfix.org/hls/jlhd.m3u8
中国教育电视台1高清,http://iptv.tvfix.org/hls/cetv1hd.m3u8
海南卫视高清,http://iptv.tvfix.org/hls/lyhd.m3u8
贵州卫视高清,http://iptv.tvfix.org/hls/gzhd.m3u8
翡翠台(第1声道繁体),http://iptv.tvfix.org/hls/jade.m3u8
翡翠台(第2声道简体),http://iptv.tvfix.org/hls/jade2.m3u8
翡翠台海外版(粤语繁体),http://iptv.tvfix.org/hls/jadenhk.m3u8
翡翠台海外版(普通话简体),http://iptv.tvfix.org/hls/jadenhk2.m3u8
J2,http://iptv.tvfix.org/hls/j2.m3u8
J2(第2声道),http://iptv.tvfix.org/hls/j22.m3u8
无线新闻台,http://iptv.tvfix.org/hls/inews.m3u8
无线新闻台(第2声道),http://iptv.tvfix.org/hls/inews2.m3u8
明珠台,http://iptv.tvfix.org/hls/pearl.m3u8
明珠台(第2声道),http://iptv.tvfix.org/hls/pearl2.m3u8
无线财经资讯台,http://iptv.tvfix.org/hls/finance.m3u8
无线财经资讯台(第2声道),http://iptv.tvfix.org/hls/finance2.m3u8
无线财经资讯台海外版,http://iptv.tvfix.org/hls/financenhk.m3u8
ViuTV,http://iptv.tvfix.org/hls/viutv.m3u8
ViuTV(第2声道),http://iptv.tvfix.org/hls/viutv2.m3u8
ViuTV6,http://iptv.tvfix.org/hls/viutv6.m3u8
RTHK31,http://iptv.tvfix.org/hls/rthk31.m3u8
RTHK32,http://iptv.tvfix.org/hls/rthk32.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰中文,http://iptv.tvfix.org/hls/fhzw.m3u8
凤凰电影,http://iptv.tvfix.org/hls/fhdy.m3u8
HK国际财经台,http://iptv.tvfix.org/hls/hkibc.m3u8
HK开电视,http://iptv.tvfix.org/hls/opentv.m3u8
美亚电影台(粤语),http://iptv.tvfix.org/hls/mydy.m3u8
美亚电影台(普通话),http://iptv.tvfix.org/hls/mydy2.m3u8
卫视电影台,http://iptv.tvfix.org/hls/starmovies.m3u8
天映频道,http://iptv.tvfix.org/hls/typd.m3u8
天映经典,http://iptv.tvfix.org/hls/tyjd.m3u8
天映经典(第2声道),http://iptv.tvfix.org/hls/tyjd2.m3u8
HBO(第1声道粤语),http://iptv.tvfix.org/hls/hbo.m3u8
HBO(第2声道原声),http://iptv.tvfix.org/hls/hbo2.m3u8
HBO Hits(第1声道粤语),http://iptv.tvfix.org/hls/hbohits.m3u8
HBO Hits(第2声道原声),http://iptv.tvfix.org/hls/hbohits2.m3u8
